timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-07-09T17:39:59.999Z,BTC-USD,BUY,62964.19,0.158820,Fast MA(9)=62738.90 crossed above Slow MA(21)=62726.30 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 63144.26.,memory,WIN,28.60
2026-07-09T20:19:59.999Z,BTC-USD,BUY,63169.87,0.158756,Fast MA(9)=63198.63 crossed above Slow MA(21)=63195.57 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63226.79.,memory,WIN,9.04
2026-07-09T20:34:59.999Z,BTC-USD,SKIP,63265.10,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63265.1 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-09T22:29:59.999Z,BTC-USD,SKIP,63293.51,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63293.51 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T01:34:59.999Z,BTC-USD,SKIP,63283.19,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63293.51 closed as a LOSS 3.1h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T04:04:59.999Z,BTC-USD,SKIP,63965.69,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63293.51 closed as a LOSS 5.6h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T07:49:59.999Z,BTC-USD,SKIP,63897.31,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63293.51 closed as a LOSS 9.3h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T12:19:59.999Z,BTC-USD,SKIP,64411.72,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64411.72 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T14:04:59.999Z,BTC-USD,SKIP,64301.44,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64301.44 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T16:34:59.999Z,BTC-USD,SKIP,63968.00,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63968 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T17:24:59.999Z,BTC-USD,SKIP,63917.09,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63917.09 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T19:39:59.999Z,BTC-USD,SKIP,63992.06,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63992.06 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-10T21:19:59.999Z,BTC-USD,SKIP,63879.99,0.000000,Blocked by memory: a real BUY on BTC-USD at price 63992.06 closed as a LOSS 1.7h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-11T01:19:59.999Z,BTC-USD,SKIP,64144.07,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64144.07 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-11T03:04:59.999Z,BTC-USD,SKIP,64082.19,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64144.07 closed as a LOSS 1.8h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-11T04:59:59.999Z,BTC-USD,SKIP,64111.34,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64144.07 closed as a LOSS 3.7h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-11T08:34:59.999Z,BTC-USD,SKIP,64207.77,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64207.77 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-11T11:24:59.999Z,BTC-USD,SKIP,64130.83,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64130.83 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
